,Component 1,Component 2,Component 3,Component 4,Component 5
0,0.9659145651378022,0.5237301213986099,0.30462369649969806,0.8677768375581318,0.1288632806659171
1,0.6286230677558703,0.609946334722799,0.1077841065818898,0.9850932048984364,0.45560459545272614
2,0.05193949785858985,0.41011407941050376,0.5623731947381138,0.7211708688294772,0.4105328962765707
3,0.4937180039898753,0.533197814392132,0.8351730532059777,0.0008963897612876058,0.7096610514561758
4,0.9387400193446447,0.8753076132936889,0.47696770916360554,0.9436560888343724,0.09962147536156886
5,0.2440677940172929,0.43221830468309425,0.2807631426755143,0.27755465746180635,0.5345227761531712
6,0.6074853482057322,0.957099527396217,0.1308585922072378,0.11776642032804467,0.43230548961122794
7,0.6495323308648012,0.9280625229769783,0.9549538141468962,0.3173081190316028,0.8774356050766916
8,0.6087719148892329,0.6178722700768323,0.9019773499729553,0.43664479650122384,0.9942504581413775
9,0.39691719932476943,0.47465859811941424,0.7804837445873397,0.6229096820202469,0.8823797740781384
10,0.3678602630467984,0.9206267276900696,0.7826011535202813,0.03647364711558885,0.0052286854760266715
11,0.5711725330621475,0.20595742456430832,0.8164869141477696,0.3994596708925791,0.551780027358302
12,0.7426746041213276,0.9013091175459259,0.9127480463147103,0.861476274014669,0.854293556584073
13,0.12411225794461565,0.37575076298607485,0.5035187367435224,0.5266119864476989,0.1693143021742974
14,0.5199383025458452,0.511638930304704,0.9887749094222209,0.07386947997218522,0.2947637982581071
15,0.8195391170582036,0.9055932982355931,0.3364190365922145,0.31929375562934426,0.3268126397177811
16,0.2521279779362989,0.16969963625705098,0.18570836071457333,0.45822961429078196,0.5092594329711493
17,0.12811656427933338,0.14127184719921068,0.5990422014503881,0.2229605388698815,0.3979491182114392
18,0.2882123253486286,0.17205715439880184,0.6095546024126026,0.4901658026501111,0.2811055165800469
19,0.3197925076609034,0.1315078464596036,0.6125466617999558,0.1578665356911586,0.6600138467616748
20,0.9410427369878995,0.6426349418069958,0.8506269737897844,0.32481283830601004,0.9279876088188562
21,0.15254893742256673,0.6838278973091078,0.4698681208314962,0.7003320174189156,0.7517266499055228
22,0.11288247486516237,0.665372597027843,0.44729366597667214,0.9111230136471834,0.5373810452600334
23,0.747923332745591,0.5128698980753973,0.9394506704177061,0.4606193514883563,0.22764320674743965
24,0.2945923424739524,0.6294289052410176,0.14974404877498695,0.21793981927531203,0.33858801944245426
25,0.10886275236510717,0.25960406326569974,0.5096464441538182,0.5019081161044381,0.29520438033617524
26,0.6697144482550538,0.11261377632498913,0.6205451831229111,0.1151870228935018,0.12762387521498572
27,0.563154171278496,0.5977677967076882,0.0684320379984057,0.7769955562758609,0.948871696072229
28,0.15432544136246928,0.06394468852450289,0.6144357073444555,0.4262783935393848,0.2625224104774645
29,0.49028212060756926,0.9039530300756334,0.5198233631739984,0.6142696375907802,0.9651067159554729
30,0.6537899428538722,0.7663257501367708,0.9987493730238838,0.9785867683904224,0.8839373740776725
31,0.6634604433850302,0.4795694253186107,0.41481534840097123,0.999768198898822,0.33591903883651186
32,0.23663281250473447,0.10775661726674285,0.550115710814297,0.05218386461956763,0.389269626697657
33,0.9436513709392784,0.24689719448083605,0.4521975960688543,0.6720750175256567,0.6387959176277849
34,0.03416718752567199,0.12878595007674384,0.6404431578701338,0.6922147596005207,0.25419764705421266
35,0.7102635045113626,0.023886277772902774,0.6855520200742977,0.2287091580439809,0.8936257805750244
36,0.3981015519161001,0.5756591503189478,0.8169562499577938,0.2091352422021802,0.09251080619530545
