,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5879,Nothing in particular,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$20,000-24,999",,Female,White,,,36,0.491044856188108
5880,Agnostic,Non-traditional believer,Never married,High school credential,Heterosexual or straight,"$10,000-14,999",,Female,White,,Liberal,30,0.445498456517673
5881,Atheist,None of the above,Separated,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,Pete Buttigieg,Liberal,49,1.04401908554267
5882,Catholic,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$100,000-109,999",,Male,White,,Conservative,50,0.0
5883,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,,Donald Trump,Female,White,Donald Trump,Extremely conservative,80,0.34980842353156
5884,Orthodox,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,,Slightly conservative,42,1.18076612845432
5885,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Conservative,80,0.886909453930974
5886,,Traditional,Married,Graduate degree,Heterosexual or straight,,,Male,White,Joe Biden,Moderate; middle of the road,72,0.32719664291211
5887,Nothing in particular,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$35,000-39,999",,Female,White,,Liberal,45,0.282010369710355
5888,Nothing in particular,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",,Male,Multiracial,Donald Trump,Conservative,58,0.0
5889,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Donald Trump,Female,White,,Conservative,68,0.873496688734922
5890,Catholic,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$250,000 or more",,Female,Hispanic,Joe Biden,,37,0.0
5891,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,62,0.691831365848411
5892,Nothing in particular,Spiritual but not religious,Widowed,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,80,0.242884004345109
5893,Atheist,Secular,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,73,0.171524674553519
5894,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,Michael Bloomberg,Moderate; middle of the road,79,0.130420629575942
5895,Something else,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,White,,Extremely conservative,55,0.737383742481602
