,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
0,Something else,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",,Male,Hispanic,Donald Trump,Conservative,46,1.00573747444017
1,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Jo Jorgensen,Female,Asian/NHPI,3rd party,Moderate; middle of the road,37,1.16347312190926
2,Something else,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,40,0.768681110109909
3,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,Asian/NHPI,,Slightly liberal,41,0.521019534357875
4,Nothing in particular,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,AIAN,Donald Trump,Slightly conservative,72,0.965789166832749
5,Agnostic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,,Moderate; middle of the road,71,0.23470782633613
6,Protestant,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Female,White,,Moderate; middle of the road,37,0.440700134379997
7,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$15,000-19,999",,Female,White,,,45,0.769430262817186
8,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,,,70,1.42151619894385
9,Nothing in particular,Spiritual but not religious,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",Joe Biden,Male,Hispanic,,,43,1.84221626331928
10,Protestant,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,Hispanic,,,37,1.54801077365037
11,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,,Moderate; middle of the road,55,1.2514017508479
12,Orthodox,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,,Conservative,30,0.292632404266775
13,Hindu,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Asian/NHPI,Joe Biden,Slightly liberal,38,0.515282283901104
14,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Female,Black,,Moderate; middle of the road,41,1.34300705621002
15,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",,Male,Hispanic,,Conservative,66,0.455995341796958
16,Catholic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Slightly liberal,54,1.2173171900148
17,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Amy Klobuchar,Slightly liberal,55,0.741825200066939
18,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Female,White,,Liberal,62,0.627431722421454
19,Catholic,Traditional,Widowed,High school credential,Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,80,0.549806603681382
20,Catholic,Traditional,Never married,Graduate degree,Heterosexual or straight,"$65,000-69,999",,Male,Hispanic,,Conservative,31,1.10611156482799
21,Catholic,Mainline,Widowed,Less than high school credential,Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Hispanic,,Moderate; middle of the road,80,2.13243923681911
22,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Bisexual,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Liberal,24,6.61662904723262
23,Protestant,Charismatic/Pentecostal,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",,Male,White,Another Republican,Conservative,55,1.72784997916338
24,Catholic,None of the above,Married,Less than high school credential,Heterosexual or straight,"$30,000-34,999",,Female,Hispanic,,,59,5.80953914475628
25,Protestant,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$25,000-29,999",Joe Biden,Male,White,Joe Biden,Liberal,73,0.609708082236748
26,Protestant,Charismatic/Pentecostal,Widowed,Less than high school credential,Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,,,72,0.734375412466689
27,Catholic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,,Slightly conservative,50,0.906416910914763
28,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Slightly conservative,66,0.645981762018704
29,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,Hispanic,Joe Biden,Moderate; middle of the road,41,1.47686147985125
30,Nothing in particular,None of the above,Separated,High school credential,Heterosexual or straight,"Under $9,999",,Female,Asian/NHPI,,,52,1.03552120123171
31,Something else,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",,Male,AIAN,,Moderate; middle of the road,45,1.24082679469705
32,Protestant,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,Joe Biden,Liberal,46,0.207172388945155
33,Protestant,Mainline,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,Donald Trump,Conservative,66,0.541301179983712
34,Catholic,Progressive,Divorced,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,,Liberal,60,1.0980220445749
35,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,,73,0.642781102348334
36,Something else,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,Black,,,71,0.876708205173131
37,Atheist,Secular,Never married,Graduate degree,Homosexual or gay (or lesbian),"$15,000-19,999",Joe Biden,Female,White,,Extremely liberal,28,0.776852705747462
38,Atheist,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,White,,Extremely liberal,73,0.480050650683872
39,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,,Donald Trump,Male,White,Donald Trump,Conservative,-9,0.373316602413687
40,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,,Conservative,37,0.524077502362527
41,Something else,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,Black,Joe Biden,Moderate; middle of the road,56,0.364906512334059
42,Protestant,Non-traditional believer,Divorced,Graduate degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,,Extremely conservative,48,0.630983449532453
43,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,,Extremely conservative,53,0.644167378141637
44,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,,Slightly liberal,72,0.931300250695248
45,Nothing in particular,Traditional,Married,High school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,Donald Trump,Conservative,55,0.242525438675044
46,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Joe Biden,Liberal,79,0.921854113170443
47,Agnostic,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Slightly liberal,38,0.677811863374512
48,Protestant,Charismatic/Pentecostal,Never married,Bachelor’s degree,Heterosexual or straight,"$65,000-69,999",Donald Trump,Female,Asian/NHPI,Donald Trump,Moderate; middle of the road,42,0.320813808755233
49,Catholic,Progressive,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,Joe Biden,Conservative,70,0.368948993952936
50,Something else,Spiritual but not religious,,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Joe Biden,Female,AIAN,Joe Biden,Moderate; middle of the road,50,0.693179172080342
51,Something else,Non-traditional believer,Never married,Graduate degree,,,Joe Biden,Female,Black,Bernie Sanders,Liberal,50,0.262082586988751
52,Something else,Traditional,Married,Less than high school credential,Heterosexual or straight,"Under $9,999",,Female,White,Joe Biden,Moderate; middle of the road,27,0.0
53,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Male,White,,,62,1.68129338717785
54,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Jo Jorgensen,Female,,Bernie Sanders,Moderate; middle of the road,51,1.01067733410734
55,Something else,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",,Male,White,Donald Trump,Conservative,60,0.0
56,Catholic,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,65,0.22250919332164
57,Jewish,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,-9,0.572441482600485
58,Nothing in particular,None of the above,Divorced,High school credential,Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,,Moderate; middle of the road,48,1.41210251960401
59,Something else,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,Donald Trump,Conservative,55,0.800474147375002
60,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,,Slightly conservative,54,0.93679365224862
61,Nothing in particular,None of the above,Married,Graduate degree,Homosexual or gay (or lesbian),"$70,000-74,999",,Female,White,,Moderate; middle of the road,38,0.903497008132673
62,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Elizabeth Warren,Liberal,80,0.543962415317593
63,Nothing in particular,Non-traditional believer,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Multiracial,,Liberal,37,0.327355720105364
64,Catholic,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,Liberal,38,0.347911382708054
65,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$60,000-64,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,60,0.75439881560547
66,Something else,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Joe Biden,Male,Multiracial,,Slightly conservative,46,1.40326350551124
67,Atheist,Secular,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,Bernie Sanders,Extremely liberal,78,0.951794738238025
68,Something else,None of the above,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,39,0.594178001793526
69,Something else,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,Black,Joe Biden,Liberal,33,0.196831890762437
70,Something else,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Joe Biden,Liberal,74,0.246114318080683
71,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,,Slightly liberal,61,0.571297995653618
72,Protestant,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,White,,,67,0.877290607657134
73,Protestant,Traditional,Divorced,High school credential,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,,,60,2.10128121967137
74,Catholic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Conservative,-9,0.780942102009456
75,Something else,Secular,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",,Male,Black,Bernie Sanders,,21,1.35387142837094
76,Catholic,Progressive,Married,Less than high school credential,Something else,"Under $9,999",,Female,Black,,Moderate; middle of the road,49,2.1683995644274
77,Nothing in particular,Mainline,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,White,Joe Biden,Liberal,80,0.329968457198544
78,Jewish,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Male,White,,Moderate; middle of the road,70,0.510602452441452
79,Something else,None of the above,Widowed,High school credential,,,Joe Biden,Female,White,Joe Biden,Slightly conservative,70,0.435134829079491
80,Protestant,Mainline,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,,Slightly conservative,72,0.671484847622396
81,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,78,0.549363878345247
82,Something else,Progressive,Divorced,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Another Republican,Liberal,43,0.336692000812415
83,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Female,Black,,,45,0.703407415730539
84,Protestant,Non-traditional believer,Married,Bachelor’s degree,Bisexual,"$175,000-249,999",Joe Biden,Female,White,Elizabeth Warren,Slightly liberal,44,0.372613828228004
85,Something else,Mainline,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Hispanic,,Moderate; middle of the road,50,0.511042102007419
86,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,,,Female,White,,Moderate; middle of the road,-9,0.704391073575073
87,Catholic,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Bernie Sanders,Slightly liberal,33,0.622975327201284
88,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$75,000-79,999",,Female,White,,,55,1.94632551005871
89,Something else,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,,Slightly conservative,28,1.42871685179449
90,Protestant,Progressive,Never married,Graduate degree,Heterosexual or straight,"$250,000 or more",,Female,White,,Slightly conservative,34,0.617552230077245
91,Nothing in particular,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,Donald Trump,Liberal,24,3.24523373731514
92,Protestant,Charismatic/Pentecostal,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,26,0.65419244935258
93,Nothing in particular,None of the above,Widowed,High school credential,Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,75,0.818866253721077
94,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,AIAN,Donald Trump,Slightly conservative,61,0.65137368689488
95,Protestant,Traditional,Widowed,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,Donald Trump,Conservative,80,0.35793532145757
96,Agnostic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,Amy Klobuchar,Slightly liberal,58,0.737327188273955
97,Catholic,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$65,000-69,999",Joe Biden,Female,Hispanic,Joe Biden,Moderate; middle of the road,50,0.363642981893043
98,Protestant,Spiritual but not religious,Widowed,Bachelor’s degree,Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,White,Another Democrat,Slightly liberal,76,0.214284294903583
99,Protestant,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,80,0.305300147891751
100,Jewish,Mainline,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Female,Multiracial,,Liberal,48,0.87587419370977
101,Catholic,None of the above,Married,High school credential,Heterosexual or straight,"$100,000-109,999",,Female,White,,Slightly liberal,61,1.22586112465937
102,Nothing in particular,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Bernie Sanders,Liberal,45,0.462647920647693
103,Mormon,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,,Conservative,37,0.627409872280277
104,Something else,Charismatic/Pentecostal,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Conservative,36,0.811314540269106
105,Catholic,Traditional,Widowed,Less than high school credential,Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,Joe Biden,Liberal,80,0.578128933030482
106,Protestant,Traditional,Never married,High school credential,Heterosexual or straight,"$20,000-24,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,66,0.366225059588553
107,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,Slightly conservative,80,1.39258741688252
108,Protestant,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,AIAN,,Conservative,66,0.362290149900637
109,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,,Moderate; middle of the road,60,3.39065793959252
110,Catholic,Progressive,Married,,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,34,0.457411032119631
111,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,Asian/NHPI,Donald Trump,Conservative,80,0.58383819946959
112,Catholic,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$75,000-79,999",,Male,White,Another Democrat,Moderate; middle of the road,71,1.4634502511162
113,Protestant,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Male,White,,Conservative,72,0.386092742948315
114,Catholic,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",Donald Trump,Male,White,,Slightly liberal,57,0.355778482199789
115,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,Hispanic,Elizabeth Warren,Moderate; middle of the road,36,0.552909336429362
116,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,Black,,Moderate; middle of the road,61,1.14245729064897
117,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Male,AIAN,Donald Trump,Conservative,58,1.10925512374086
118,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$100,000-109,999",Joe Biden,Male,Black,Bernie Sanders,,30,2.55842678688748
119,Protestant,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Conservative,80,0.489443342976266
120,,Traditional,Married,Graduate degree,Heterosexual or straight,,Donald Trump,Male,,Donald Trump,Conservative,-9,1.02884307239767
121,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Joe Biden,Male,Hispanic,Joe Biden,,72,0.601678668809427
122,Something else,Spiritual but not religious,Never married,Less than high school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Male,Hispanic,Joe Biden,Extremely liberal,38,0.0
123,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",,Male,White,,,60,0.399463427671315
124,Something else,None of the above,Married,High school credential,Heterosexual or straight,"$20,000-24,999",,Female,Black,,Slightly conservative,52,5.14092682083772
125,Nothing in particular,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$40,000-44,999",,Female,White,,Moderate; middle of the road,40,1.392850178203
126,Catholic,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Female,White,Joe Biden,Liberal,23,1.31324160102391
127,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Conservative,54,2.38297738606576
128,Something else,Non-traditional believer,Widowed,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,70,0.58857224035529
129,Atheist,None of the above,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"$25,000-29,999",,Female,Hispanic,,,23,4.12769470845244
130,Nothing in particular,Secular,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Black,,Liberal,66,0.500508550713273
131,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,60,1.45735739305903
132,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,Donald Trump,Conservative,50,1.08378537921869
133,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,Donald Trump,Conservative,62,0.994297416941047
134,Atheist,Secular,Married,Graduate degree,Homosexual or gay (or lesbian),"$100,000-109,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,37,0.547175949067804
135,Nothing in particular,Traditional,Married,High school credential,Heterosexual or straight,,Joe Biden,Female,White,Donald Trump,Conservative,73,0.35960592514405
136,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,,Slightly conservative,52,0.93679365224862
137,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$15,000-19,999",Donald Trump,Female,White,,Extremely conservative,76,0.364867300431892
138,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Joe Biden,Male,White,,Slightly conservative,73,0.271516749910305
139,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Bisexual,"$175,000-249,999",Other,Female,White,,Slightly liberal,42,1.05569766103719
140,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$20,000-24,999",Donald Trump,Male,White,,Moderate; middle of the road,67,0.338572098289862
141,Nothing in particular,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,,Moderate; middle of the road,64,0.220345024463832
142,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,Donald Trump,,55,0.871138352157312
143,Nothing in particular,Spiritual but not religious,Never married,Graduate degree,Homosexual or gay (or lesbian),"$60,000-64,999",Joe Biden,Female,Black,,Liberal,29,0.934368254826434
144,Something else,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,Black,,Conservative,34,0.909397992199679
145,Nothing in particular,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$150,000-174,999",,Female,White,,Moderate; middle of the road,45,0.614313861571448
146,Orthodox,None of the above,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,AIAN,Elizabeth Warren,Extremely liberal,40,0.246958344361264
147,Protestant,Mainline,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Male,White,,Moderate; middle of the road,28,0.0
148,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,Hispanic,,Moderate; middle of the road,49,3.65166997965147
149,Something else,Traditional,Married,Graduate degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,Joe Biden,Liberal,37,0.517593622962482
150,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Conservative,80,0.94611125346188
151,Catholic,None of the above,Divorced,High school credential,Heterosexual or straight,"$70,000-74,999",,Female,Asian/NHPI,,Slightly liberal,55,0.0
152,Protestant,Spiritual but not religious,Widowed,Less than high school credential,Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,,Slightly liberal,80,1.1898602920361
153,Something else,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",,Female,Multiracial,Michael Bloomberg,,63,0.0
154,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,Donald Trump,Conservative,66,0.544936432714287
155,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",,Male,White,,Slightly conservative,55,1.12785823099805
156,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,,Conservative,65,2.29560740861687
157,Nothing in particular,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,,Liberal,69,0.339177608320053
158,Protestant,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$15,000-19,999",Donald Trump,Female,White,,Extremely conservative,70,1.11204254857586
159,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$70,000-74,999",,Male,White,,,64,1.94902338217028
160,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,62,1.8970024297994
161,Jewish,Traditional,Married,Graduate degree,Heterosexual or straight,,Donald Trump,Male,White,Another Democrat,Conservative,50,1.46513497607621
162,Muslim,Traditional,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Female,Black,,,46,1.32238609205713
163,Protestant,Traditional,Married,,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Multiracial,Joe Biden,Liberal,67,0.908969471500503
164,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Female,White,Elizabeth Warren,Liberal,43,0.0
165,Something else,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$35,000-39,999",Joe Biden,Male,White,,Liberal,30,0.327473604309266
166,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,Donald Trump,Conservative,80,1.27236336250049
167,Something else,Spiritual but not religious,Widowed,High school credential,Heterosexual or straight,"$20,000-24,999",,Female,White,,Moderate; middle of the road,58,0.430759484910809
168,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Jo Jorgensen,Male,White,,Moderate; middle of the road,29,1.56990400815729
169,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,71,0.265766189457941
170,Protestant,None of the above,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Conservative,69,0.562085776239955
